id,ride_style,speed,poster,staff,time,is_female,is_staff,is_raining,day,week,total_passenger,total_passenger_per_minute
109,ls,0,0,0,45,1,0,0,Mon,1,351,18
110,ls,0,0,0,45,0,0,0,Mon,1,351,18
111,ls,0,0,0,45,1,0,0,Mon,1,351,18
112,ls,0,0,0,45,1,0,0,Mon,1,351,18
113,ls,0,0,0,45,1,0,0,Mon,1,351,18
114,ls,0,0,0,45,1,0,0,Mon,1,351,18
115,rw,0,0,0,45,1,0,0,Mon,1,351,18
116,ls,0,0,0,45,1,0,0,Mon,1,351,18
117,ls,0,0,0,45,0,0,0,Mon,1,351,18
118,ls,0,0,0,45,1,0,0,Mon,1,351,18
119,ls,0,0,0,46,0,0,0,Mon,1,351,25
120,ls,0,0,0,46,0,0,0,Mon,1,351,25
121,ls,0,0,0,46,1,0,0,Mon,1,351,25
122,ls,0,0,0,46,0,0,0,Mon,1,351,25
123,ls,0,0,0,46,0,0,0,Mon,1,351,25
124,ls,0,0,0,46,1,0,0,Mon,1,351,25
125,ls,0,0,0,46,1,0,0,Mon,1,351,25
126,ls,0,0,0,46,1,0,0,Mon,1,351,25
127,ls,0,0,0,46,1,0,0,Mon,1,351,25
128,ls,0,0,0,46,1,0,0,Mon,1,351,25
129,ls,0,0,0,46,1,0,0,Mon,1,351,25
130,ls,0,0,0,46,1,0,0,Mon,1,351,25
131,ls,0,0,0,46,1,0,0,Mon,1,351,25
132,ls,0,0,0,46,1,0,0,Mon,1,351,25
133,ls,0,0,0,46,1,0,0,Mon,1,351,25
134,rw,0,0,0,46,1,0,0,Mon,1,351,25
135,ls,0,0,0,46,0,0,0,Mon,1,351,25
136,ls,0,0,0,46,0,0,0,Mon,1,351,25
137,ls,0,0,0,46,1,0,0,Mon,1,351,25
138,rw,0,0,0,46,0,0,0,Mon,1,351,25
139,rw,0,0,0,46,0,0,0,Mon,1,351,25
140,ls,0,0,0,46,1,0,0,Mon,1,351,25
141,ls,0,0,0,46,1,0,0,Mon,1,351,25
142,ls,0,0,0,46,1,0,0,Mon,1,351,25
143,ls,0,0,0,46,1,0,0,Mon,1,351,25
144,ls,0,0,0,47,1,0,0,Mon,1,351,37
145,ls,0,0,0,47,1,0,0,Mon,1,351,37
146,ls,0,0,0,47,1,0,0,Mon,1,351,37
147,ls,0,0,0,47,1,0,0,Mon,1,351,37
148,rw,0,0,0,47,1,0,0,Mon,1,351,37
149,ls,0,0,0,47,0,0,0,Mon,1,351,37
150,ls,0,0,0,47,0,0,0,Mon,1,351,37
151,ls,0,0,0,47,1,0,0,Mon,1,351,37
152,ls,0,0,0,47,1,0,0,Mon,1,351,37
153,ls,0,0,0,47,1,0,0,Mon,1,351,37
154,ls,0,0,0,47,1,0,0,Mon,1,351,37
155,ls,0,0,0,47,1,0,0,Mon,1,351,37
156,ls,0,0,0,47,1,0,0,Mon,1,351,37
157,ls,0,0,0,47,1,0,0,Mon,1,351,37
158,ls,0,0,0,47,1,0,0,Mon,1,351,37
159,rw,0,0,0,47,1,0,0,Mon,1,351,37
160,rw,0,0,0,47,1,0,0,Mon,1,351,37
161,rw,0,0,0,47,1,0,0,Mon,1,351,37
162,ls,0,0,0,47,1,0,0,Mon,1,351,37
163,ls,0,0,0,47,1,0,0,Mon,1,351,37
164,ls,0,0,0,47,1,0,0,Mon,1,351,37
165,ls,0,0,0,47,1,0,0,Mon,1,351,37
166,ls,0,0,0,47,1,0,0,Mon,1,351,37
167,ls,0,0,0,47,1,0,0,Mon,1,351,37
168,ls,0,0,0,47,1,0,0,Mon,1,351,37
