id,ride_style,speed,poster,staff,time,is_female,is_assistant,is_raining,day,week,total_passenger
117,ls,0,0,0,45,0,0,0,Mon,0,351
118,ls,0,0,0,45,1,0,0,Mon,0,351
119,ls,0,0,0,46,0,0,0,Mon,0,351
120,ls,0,0,0,46,0,0,0,Mon,0,351
121,ls,0,0,0,46,1,0,0,Mon,0,351
122,ls,0,0,0,46,0,0,0,Mon,0,351
123,ls,0,0,0,46,0,0,0,Mon,0,351
124,ls,0,0,0,46,1,0,0,Mon,0,351
125,ls,0,0,0,46,1,0,0,Mon,0,351
126,ls,0,0,0,46,1,0,0,Mon,0,351
127,ls,0,0,0,46,1,0,0,Mon,0,351
128,ls,0,0,0,46,1,0,0,Mon,0,351
129,ls,0,0,0,46,1,0,0,Mon,0,351
130,ls,0,0,0,46,1,0,0,Mon,0,351
131,ls,0,0,0,46,1,0,0,Mon,0,351
132,ls,0,0,0,46,1,0,0,Mon,0,351
133,ls,0,0,0,46,1,0,0,Mon,0,351
134,rw,0,0,0,46,1,0,0,Mon,0,351
135,ls,0,0,0,46,0,0,0,Mon,0,351
136,ls,0,0,0,46,0,0,0,Mon,0,351
137,ls,0,0,0,46,1,0,0,Mon,0,351
138,rw,0,0,0,46,0,0,0,Mon,0,351
139,rw,0,0,0,46,0,0,0,Mon,0,351
140,ls,0,0,0,46,1,0,0,Mon,0,351
141,ls,0,0,0,46,1,0,0,Mon,0,351
142,ls,0,0,0,46,1,0,0,Mon,0,351
143,ls,0,0,0,46,1,0,0,Mon,0,351
144,ls,0,0,0,47,1,0,0,Mon,0,351
145,ls,0,0,0,47,1,0,0,Mon,0,351
146,ls,0,0,0,47,1,0,0,Mon,0,351
147,ls,0,0,0,47,1,0,0,Mon,0,351
148,rw,0,0,0,47,1,0,0,Mon,0,351
149,ls,0,0,0,47,0,0,0,Mon,0,351
150,ls,0,0,0,47,0,0,0,Mon,0,351
151,ls,0,0,0,47,1,0,0,Mon,0,351
152,ls,0,0,0,47,1,0,0,Mon,0,351
153,ls,0,0,0,47,1,0,0,Mon,0,351
154,ls,0,0,0,47,1,0,0,Mon,0,351
155,ls,0,0,0,47,1,0,0,Mon,0,351
156,ls,0,0,0,47,1,0,0,Mon,0,351
157,ls,0,0,0,47,1,0,0,Mon,0,351
158,ls,0,0,0,47,1,0,0,Mon,0,351
159,rw,0,0,0,47,1,0,0,Mon,0,351
160,rw,0,0,0,47,1,0,0,Mon,0,351
161,rw,0,0,0,47,1,0,0,Mon,0,351
162,ls,0,0,0,47,1,0,0,Mon,0,351
163,ls,0,0,0,47,1,0,0,Mon,0,351
164,ls,0,0,0,47,1,0,0,Mon,0,351
165,ls,0,0,0,47,1,0,0,Mon,0,351
166,ls,0,0,0,47,1,0,0,Mon,0,351
167,ls,0,0,0,47,1,0,0,Mon,0,351
168,ls,0,0,0,47,1,0,0,Mon,0,351
169,ls,0,0,0,47,0,0,0,Mon,0,351
170,rw,0,0,0,47,0,0,0,Mon,0,351
171,rw,0,0,0,47,1,0,0,Mon,0,351
172,ls,0,0,0,47,1,0,0,Mon,0,351
173,ls,0,0,0,47,1,0,0,Mon,0,351
174,ls,0,0,0,47,1,0,0,Mon,0,351
175,ls,0,0,0,47,1,0,0,Mon,0,351
176,ls,0,0,0,47,1,0,0,Mon,0,351
177,ls,0,0,0,47,1,0,0,Mon,0,351
178,ls,0,0,0,47,1,0,0,Mon,0,351
179,ls,0,0,0,47,1,0,0,Mon,0,351
180,ls,0,0,0,47,1,0,0,Mon,0,351
181,ls,0,0,0,48,0,0,0,Mon,0,351
182,ls,0,0,0,48,0,0,0,Mon,0,351
183,ls,0,0,0,48,0,0,0,Mon,0,351
184,ls,0,0,0,48,0,0,0,Mon,0,351
185,ls,0,0,0,48,0,0,0,Mon,0,351
186,ls,0,0,0,48,0,0,0,Mon,0,351
187,ls,0,0,0,48,0,0,0,Mon,0,351
188,ls,0,0,0,48,1,0,0,Mon,0,351
189,ls,0,0,0,48,1,0,0,Mon,0,351
190,ls,0,0,0,48,1,0,0,Mon,0,351
191,ls,0,0,0,48,1,0,0,Mon,0,351
192,ls,0,0,0,48,0,0,0,Mon,0,351
193,ls,0,0,0,48,0,0,0,Mon,0,351
194,rw,0,0,0,48,0,0,0,Mon,0,351
195,ls,0,0,0,48,1,0,0,Mon,0,351
196,ls,0,0,0,48,1,0,0,Mon,0,351
197,ls,0,0,0,48,1,0,0,Mon,0,351
198,ls,0,0,0,48,1,0,0,Mon,0,351
199,ls,0,0,0,48,1,0,0,Mon,0,351
200,ls,0,0,0,48,0,0,0,Mon,0,351
201,ls,0,0,0,48,1,0,0,Mon,0,351
202,ls,0,0,0,48,0,0,0,Mon,0,351
203,ls,0,0,0,48,1,0,0,Mon,0,351
204,ls,0,0,0,48,0,0,0,Mon,0,351
205,ls,0,0,0,49,1,0,0,Mon,0,351
206,ls,0,0,0,49,1,0,0,Mon,0,351
207,ls,0,0,0,49,1,0,0,Mon,0,351
208,ls,0,0,0,49,1,0,0,Mon,0,351
209,ls,0,0,0,49,1,0,0,Mon,0,351
210,ls,0,0,0,49,0,0,0,Mon,0,351
211,ls,0,0,0,49,1,0,0,Mon,0,351
212,ls,0,0,0,49,1,0,0,Mon,0,351
213,ls,0,0,0,49,0,0,0,Mon,0,351
214,ls,0,0,0,49,1,0,0,Mon,0,351
215,ls,0,0,0,49,1,0,0,Mon,0,351
216,ls,0,0,0,49,0,0,0,Mon,0,351
217,rw,0,0,0,49,0,0,0,Mon,0,351
218,ls,0,0,0,49,1,0,0,Mon,0,351
219,ls,0,0,0,49,1,0,0,Mon,0,351
220,ls,0,0,0,49,0,0,0,Mon,0,351
221,ls,0,0,0,49,1,0,0,Mon,0,351
222,ls,0,0,0,49,1,0,0,Mon,0,351
223,ls,0,0,0,49,1,0,0,Mon,0,351
224,ls,0,0,0,49,1,0,0,Mon,0,351
225,ls,0,0,0,49,1,0,0,Mon,0,351
226,rw,0,0,0,49,1,0,0,Mon,0,351
227,ls,0,0,0,49,1,0,0,Mon,0,351
228,ls,0,0,0,49,1,0,0,Mon,0,351
229,ls,0,0,0,49,1,0,0,Mon,0,351
230,ls,0,0,0,49,1,0,0,Mon,0,351
231,ls,0,0,0,49,1,0,0,Mon,0,351
232,ls,0,0,0,49,1,0,0,Mon,0,351
233,ls,0,0,0,50,1,0,0,Mon,0,351
234,ls,0,0,0,50,0,0,0,Mon,0,351
235,ls,0,0,0,50,0,0,0,Mon,0,351
236,ls,0,0,0,50,0,0,0,Mon,0,351
237,rw,0,0,0,50,1,0,0,Mon,0,351
238,rw,0,0,0,50,1,0,0,Mon,0,351
239,ls,0,0,0,50,1,0,0,Mon,0,351
240,rw,0,0,0,50,1,0,0,Mon,0,351
241,rw,0,0,0,50,0,0,0,Mon,0,351
242,ls,0,0,0,50,1,0,0,Mon,0,351
243,ls,0,0,0,51,1,0,0,Mon,0,351
244,ls,0,0,0,51,1,0,0,Mon,0,351
245,ls,0,0,0,51,1,0,0,Mon,0,351
246,ls,0,0,0,51,1,0,0,Mon,0,351
247,ls,0,0,0,51,1,0,0,Mon,0,351
248,ls,0,0,0,51,1,0,0,Mon,0,351
249,ls,0,0,0,51,1,0,0,Mon,0,351
250,ls,0,0,0,51,1,0,0,Mon,0,351
251,ls,0,0,0,51,0,0,0,Mon,0,351
252,rw,0,0,0,51,1,0,0,Mon,0,351
253,rw,0,0,0,51,0,0,0,Mon,0,351
254,ls,0,0,0,51,0,0,0,Mon,0,351
255,ls,0,0,0,51,1,0,0,Mon,0,351
256,ls,0,0,0,51,0,0,0,Mon,0,351
257,ls,0,0,0,51,0,0,0,Mon,0,351
258,rw,0,0,0,51,0,0,0,Mon,0,351
259,rw,0,0,0,51,1,0,0,Mon,0,351
260,ls,0,0,0,51,1,0,0,Mon,0,351
261,ls,0,0,0,51,0,0,0,Mon,0,351
262,ls,0,0,0,51,0,0,0,Mon,0,351
263,ls,0,0,0,51,0,0,0,Mon,0,351
264,ls,0,0,0,51,1,0,0,Mon,0,351
265,ls,0,0,0,51,1,0,0,Mon,0,351
266,ls,0,0,0,51,1,0,0,Mon,0,351
267,ls,0,0,0,51,0,0,0,Mon,0,351
268,ls,0,0,0,51,1,0,0,Mon,0,351
269,ls,0,0,0,51,1,0,0,Mon,0,351
270,rw,0,0,0,52,1,0,0,Mon,0,351
271,ls,0,0,0,52,1,0,0,Mon,0,351
272,rs,0,0,0,52,1,0,0,Mon,0,351
273,ls,0,0,0,52,1,0,0,Mon,0,351
274,ls,0,0,0,52,1,0,0,Mon,0,351
275,ls,0,0,0,52,1,0,0,Mon,0,351
276,ls,0,0,0,52,0,0,0,Mon,0,351
277,ls,0,0,0,52,1,0,0,Mon,0,351
278,ls,0,0,0,52,1,0,0,Mon,0,351
279,ls,0,0,0,52,1,0,0,Mon,0,351
280,rw,0,0,0,52,0,0,0,Mon,0,351
281,lw,0,0,0,52,1,0,0,Mon,0,351
282,ls,0,0,0,52,0,0,0,Mon,0,351
283,ls,0,0,0,52,1,0,0,Mon,0,351
284,ls,0,0,0,52,1,0,0,Mon,0,351
285,ls,0,0,0,52,0,0,0,Mon,0,351
286,ls,0,0,0,52,1,0,0,Mon,0,351
287,rw,0,0,0,52,1,0,0,Mon,0,351
288,rw,0,0,0,52,1,0,0,Mon,0,351
289,rw,0,0,0,52,0,0,0,Mon,0,351
290,ls,0,0,0,52,1,0,0,Mon,0,351
291,rw,0,0,0,52,0,0,0,Mon,0,351
292,lw,0,0,0,52,1,0,0,Mon,0,351
293,rw,0,0,0,52,0,0,0,Mon,0,351
294,lw,0,0,0,52,0,0,0,Mon,0,351
295,lw,0,0,0,53,1,0,0,Mon,0,351
